ambit_key,ambit_label,varietat,sup_acum,n_reg_acum,sup_2024,ordre_ambit,rank_sup,rank_reg,is_top12_chart,is_top5_sup,is_top5_reg
__TOTAL__,Tot Catalunya,Xarel.lo rosat,225.27282836260545,230.0,36.21494044587399,0,20,17,False,False,False
__TOTAL__,Tot Catalunya,Gewürztraminer,218.19370638754964,75.0,7.878650914769333,0,21,24,False,False,False
__TOTAL__,Tot Catalunya,"Monastrell, Garrut, Mourvedre, Mataró",216.60194650639036,207.0,54.159620717293215,0,22,20,False,False,False
__TOTAL__,Tot Catalunya,"Garnatxa tintorera, alicant H Bouschet",202.80994837495643,100.0,0.1884543260602143,0,23,23,False,False,False
__TOTAL__,Tot Catalunya,"Garró, Mandó",161.2846432329216,42.0,2.9466526571853464,0,24,32,False,False,False
__TOTAL__,Tot Catalunya,Sumoll Negre,138.01538571595842,226.0,5.471684978036755,0,25,18,False,False,False
__TOTAL__,Tot Catalunya,Merlot,137.14507829407282,204.0,0.3375134893430043,0,26,21,False,False,False
__TOTAL__,Tot Catalunya,Altres varietats,123.1698770754679,26.0,3.7639685893815993,0,27,38,False,False,False
__TOTAL__,Tot Catalunya,Forcada,102.3528328288296,31.0,1.7306511035809358,0,28,35,False,False,False
__TOTAL__,Tot Catalunya,"Subirat Parent, Alarije, Malvasia riojana",102.01655154104223,27.0,0.0,0,29,37,False,False,False
__TOTAL__,Tot Catalunya,Pedro Ximénez,53.791641030594114,70.0,3.563062156475022,0,30,25,False,False,False
__TOTAL__,Tot Catalunya,Petit verdot,50.39813701241614,27.0,9.439837721829967,0,31,36,False,False,False
__TOTAL__,Tot Catalunya,"Chenin, Agudelo",44.701401338084715,58.0,0.2844644140445228,0,32,27,False,False,False
__TOTAL__,Tot Catalunya,Morenillo,43.35475634269059,63.0,0.4855586911341973,0,33,26,False,False,False
__TOTAL__,Tot Catalunya,Picapoll blanc,42.24631206687673,55.0,3.365103298378282,0,34,28,False,False,False
__TOTAL__,Tot Catalunya,Godello,39.00320104162268,20.0,10.05617140330343,0,35,40,False,False,False
__TOTAL__,Tot Catalunya,Cabernet franc,38.51430356417463,37.0,6.706051310817396,0,36,33,False,False,False
__TOTAL__,Tot Catalunya,"Carinyena blanca, Carignan blanc",31.305235159421258,54.0,10.18754746362858,0,37,29,False,False,False
__TOTAL__,Tot Catalunya,Viognier,19.595798274486548,53.0,2.4595374425289074,0,38,30,False,False,False
__TOTAL__,Tot Catalunya,Carinyena gris,11.550603106701782,26.0,1.4468351999759124,0,39,39,False,False,False
__TOTAL__,Tot Catalunya,Picapoll negre,11.208464870977226,37.0,0.0177142649771207,0,40,34,False,False,False
__TOTAL__,Tot Catalunya,Malbec,5.866382292583783,10.0,0.0,0,41,41,False,False,False
__TOTAL__,Tot Catalunya,Caladoc,3.921015962377163,3.0,0.0430151480616203,0,42,45,False,False,False
__TOTAL__,Tot Catalunya,Parrella,2.478199930612849,2.0,2.478199930612849,0,43,49,False,False,False
__TOTAL__,Tot Catalunya,Tarragoní,2.410396860693829,3.0,2.3934370555483593,0,44,46,False,False,False
__TOTAL__,Tot Catalunya,Malvasia blanca,2.2826385653599344,8.0,2.2826385653599344,0,45,42,False,False,False
__TOTAL__,Tot Catalunya,Vinyater,1.5978815043349903,3.0,1.5978815043349903,0,46,48,False,False,False
__TOTAL__,Tot Catalunya,Coromina,1.2418495235123643,6.0,1.0824969112594052,0,47,43,False,False,False
__TOTAL__,Tot Catalunya,Verdejo,1.1906728428645326,3.0,0.953762024717175,0,48,47,False,False,False
__TOTAL__,Tot Catalunya,Negrelló,1.142360687962793,6.0,1.142360687962793,0,49,44,False,False,False
__TOTAL__,Tot Catalunya,Riesling,0.7776008380615675,1.0,0.0,0,50,52,False,False,False
__TOTAL__,Tot Catalunya,Escanyavella,0.2125178251586172,1.0,0.2125178251586172,0,51,50,False,False,False
__TOTAL__,Tot Catalunya,Marselan,0.1870360763439574,1.0,0.1870360763439574,0,52,51,False,False,False
ALT PENEDES,ALT PENEDÈS,"Xarel.lo, Pansa blanca, Pansal, Cartoixà",7695.267137153231,5854.0,103.53963473519184,1,1,1,True,True,True
ALT PENEDES,ALT PENEDÈS,"Macabeu, Viura",2913.027612872179,2461.0,63.259609250243166,1,2,2,True,True,True
ALT PENEDES,ALT PENEDÈS,"Parellada, Montonega, Montonec",2539.922927516772,1967.0,112.6334328502078,1,3,3,True,True,True
ALT PENEDES,ALT PENEDÈS,"Moscatell de Alexandria, Moscatell de Màlaga, Moscatell Romà",542.1382479752274,162.0,0.0,1,4,9,True,True,False
ALT PENEDES,ALT PENEDÈS,Chardonnay,530.6718586848805,325.0,10.160150170760016,1,5,4,True,True,True
ALT PENEDES,ALT PENEDÈS,Pinot noir,449.5330730640367,319.0,11.00944522810252,1,6,5,True,False,True
ALT PENEDES,ALT PENEDÈS,"Garnatxa negra, Lledoner",351.5304351141872,302.0,17.85088666518771,1,7,6,True,False,False
ALT PENEDES,ALT PENEDÈS,"Malvasia de Sitges, Malvasia grossa, Malvasia aromàtica",312.4421191991522,179.0,13.46437183005366,1,8,7,True,False,False
ALT PENEDES,ALT PENEDÈS,"Moscatell de gra petit, Moscatell de gra menut, Muscat de Frontignan",299.3092487482878,167.0,12.502824106978691,1,9,8,True,False,False
ALT PENEDES,ALT PENEDÈS,Sauvignon blanc,240.28929821130745,115.0,2.01335076183392,1,10,12,True,False,False
ALT PENEDES,ALT PENEDÈS,Gewürztraminer,217.24991738726823,74.0,6.934861914487909,1,11,14,True,False,False
ALT PENEDES,ALT PENEDÈS,Xarel.lo rosat,190.5341629059224,162.0,29.23408737479712,1,12,10,True,False,False
ALT PENEDES,ALT PENEDÈS,Cabernet Sauvignon,119.09833106167744,65.0,22.00488074164913,1,13,16,False,False,False
ALT PENEDES,ALT PENEDÈS,"Monastrell, Garrut, Mourvedre, Mataró",102.46221933856478,104.0,0.0044775009193599,1,14,13,False,False,False
ALT PENEDES,ALT PENEDÈS,Forcada,102.3528328288296,31.0,1.7306511035809358,1,15,18,False,False,False
ALT PENEDES,ALT PENEDÈS,"Subirat Parent, Alarije, Malvasia riojana",102.01655154104223,27.0,0.0,1,16,20,False,False,False
ALT PENEDES,ALT PENEDÈS,Sumoll Negre,98.29906150117408,145.0,5.351617441675307,1,17,11,False,False,False
ALT PENEDES,ALT PENEDÈS,"Garnatxa blanca, Lledoner blanc",79.29125535582284,73.0,0.894759939529361,1,18,15,False,False,False
ALT PENEDES,ALT PENEDÈS,Merlot,56.30273755534672,46.0,0.1457430637641391,1,19,17,False,False,False
ALT PENEDES,ALT PENEDÈS,Petit verdot,35.74234844051404,11.0,9.439837721829967,1,20,23,False,False,False
ALT PENEDES,ALT PENEDÈS,"Ull de llebre, Tempranillo, Cencibel, Tinto fino, Tinta de Toro, Tinta del País",26.80509155370766,22.0,1.455947982074702,1,21,21,False,False,False
ALT PENEDES,ALT PENEDÈS,"Cariñena, Mazuela, Samsó",9.662892478480806,29.0,1.0958364057926826,1,22,19,False,False,False
ALT PENEDES,ALT PENEDÈS,Cabernet franc,9.586603933774846,11.0,5.552065970482278,1,23,22,False,False,False
ALT PENEDES,ALT PENEDÈS,Malvasia blanca,1.5706401372863297,1.0,1.5706401372863297,1,24,25,False,False,False
ALT PENEDES,ALT PENEDÈS,Negrelló,1.0025305219711058,5.0,1.0025305219711058,1,25,24,False,False,False
PRIORAT,PRIORAT,"Garnatxa negra, Lledoner",2950.9996306423564,2333.0,151.27974654676038,2,1,1,True,True,True
PRIORAT,PRIORAT,"Cariñena, Mazuela, Samsó",1570.2095925718534,1778.0,129.28215659793946,2,2,2,True,True,True
PRIORAT,PRIORAT,"Garnatxa blanca, Lledoner blanc",1055.7547462457394,1082.0,34.909671345015234,2,3,3,True,True,True
PRIORAT,PRIORAT,"Garnatxa peluda, Lledoner pelut",411.5774128760114,122.0,198.4033044776982,2,4,6,True,True,False
PRIORAT,PRIORAT,Syrah,227.35074179434227,261.0,6.986220265000801,2,5,4,True,True,True
PRIORAT,PRIORAT,Altres varietats,119.87351616996298,24.0,0.4676076838766909,2,6,15,True,False,False
PRIORAT,PRIORAT,"Macabeu, Viura",105.50871313348271,130.0,0.5850042359468955,2,7,5,True,False,True
PRIORAT,PRIORAT,Pedro Ximénez,53.791641030594114,70.0,3.563062156475022,2,8,7,True,False,False
PRIORAT,PRIORAT,Merlot,29.604274937299227,60.0,0.0,2,9,8,True,False,False
PRIORAT,PRIORAT,"Chenin, Agudelo",27.59396658338045,40.0,0.2844644140445228,2,10,11,True,False,False
PRIORAT,PRIORAT,Viognier,17.043423930375326,49.0,0.1728365375305698,2,11,9,True,False,False
PRIORAT,PRIORAT,Cabernet Sauvignon,16.670800237289587,43.0,0.0,2,12,10,True,False,False
PRIORAT,PRIORAT,"Xarel.lo, Pansa blanca, Pansal, Cartoixà",15.763415367422262,27.0,1.446835574752119,2,13,14,False,False,False
PRIORAT,PRIORAT,Picapoll negre,11.208464870977226,37.0,0.0177142649771207,2,14,13,False,False,False
PRIORAT,PRIORAT,"Garnatxa roja, Lledoner gris",10.945283752329551,37.0,2.130038584154233,2,15,12,False,False,False
PRIORAT,PRIORAT,"Carinyena blanca, Carignan blanc",10.194096879462991,23.0,3.943959801155791,2,16,16,False,False,False
PRIORAT,PRIORAT,"Garnatxa tintorera, alicant H Bouschet",3.184110433762797,7.0,0.0,2,17,17,False,False,False
