COMARCA,VARIETAT,n_reg_2008,sup_2008,quota_reg_2008,quota_sup_2008,n_reg_2024,sup_2024,quota_reg_2024,quota_sup_2024,delta_n_reg,delta_sup_ha,delta_quota_reg_pp,delta_quota_sup_pp,n_reg_acum_2008_2024,sup_registral_acum_2008_2024_ha,n_campanyes_actives_2008_2024,campanya_primera,campanya_darrera,sup_registral_mitjana_campanya_activa_ha
ALT EMPORDÀ,"Garnatxa roja,Lledoner gris",0.0,0.0,0.0,0.0,17.0,5.485567389522364,0.2328767123287671,0.0591360698015351,17.0,5.485567389522364,23.28767123287671,5.91360698015351,117,248.62030068298975,12,2010,2024,20.718358390249147
ALT EMPORDÀ,"Macabeu,Viura",0.0,0.0,0.0,0.0,1.0,1.2057791632031931,0.0136986301369863,0.0129986627995156,1.0,1.2057791632031931,1.36986301369863,1.2998662799515601,22,11.437977528688805,8,2012,2024,1.4297471910861006
ALT EMPORDÀ,Merlot,5.0,7.166770785283339,0.2272727272727272,0.3292436947923326,0.0,0.0,0.0,0.0,-5.0,-7.166770785283339,-22.72727272727272,-32.92436947923326,11,9.431891878109495,4,2008,2023,2.3579729695273737
ALT EMPORDÀ,"Monastrell,Garrut,Mourvedre,Mataró",2.0,1.5372508790025494,0.0909090909090909,0.0706217869092279,18.0,46.38706853580406,0.2465753424657534,0.5000665798147733,16.0,44.84981765680151,15.566625155666253,42.94447929055455,30,51.27790154356271,6,2008,2024,8.546316923927119
ALT EMPORDÀ,"Moscatell de Alexandria,Moscatell de Màlaga,Moscatell Romà",0.0,0.0,0.0,0.0,2.0,16.989378825204806,0.0273972602739726,0.1831506243111733,2.0,16.989378825204806,2.73972602739726,18.31506243111733,46,64.2233031924624,11,2009,2024,5.838482108405672
ALT EMPORDÀ,"Moscatell de gra petit,Moscatell de gra menut,Muscat de Frontignan",4.0,7.242631321044567,0.1818181818181818,0.3327287515677273,0.0,0.0,0.0,0.0,-4.0,-7.242631321044567,-18.18181818181818,-33.27287515677273,12,16.954768973440988,4,2008,2018,4.238692243360247
ALT EMPORDÀ,Picapoll blanc,0.0,0.0,0.0,0.0,5.0,2.511718925348055,0.0684931506849315,0.0270770870438896,5.0,2.511718925348055,6.8493150684931505,2.70770870438896,12,5.926270504852427,5,2010,2024,1.1852541009704853
ALT EMPORDÀ,Syrah,3.0,0.5468728160703134,0.1363636363636363,0.0251235084724925,1.0,0.8186824355882989,0.0136986301369863,0.0088256434054045,-2.0,0.27180961951798555,-12.266500622665,-1.6297865067088,69,42.62335928314724,11,2008,2024,3.8748508439224763
ALT EMPORDÀ,"Xarel.lo,Pansa blanca,Pansal,Cartoixà",0.0,0.0,0.0,0.0,1.0,0.034109830171412,0.0136986301369863,0.0003677142499038,1.0,0.034109830171412,1.36986301369863,0.036771424990380004,21,30.52855216844731,7,2016,2024,4.361221738349616
ALT PENEDÈS,Cabernet Sauvignon,0.0,0.0,0.0,0.0,7.0,22.00488074164913,0.0176767676767676,0.0508370040318385,7.0,22.00488074164913,1.76767676767676,5.08370040318385,65,119.09833106167743,12,2009,2024,9.924860921806452
ALT PENEDÈS,Cabernet franc,0.0,0.0,0.0,0.0,3.0,5.552065970482278,0.0075757575757575,0.0128267180104375,3.0,5.552065970482278,0.75757575757575,1.2826718010437501,11,9.586603933774846,3,2009,2024,3.1955346445916155
ALT PENEDÈS,"Cariñena,Mazuela,Samsó",0.0,0.0,0.0,0.0,2.0,1.0958364057926826,0.005050505050505,0.0025316674256759,2.0,1.0958364057926826,0.5050505050505,0.25316674256759,29,9.662892478480806,8,2013,2024,1.2078615598101008
ALT PENEDÈS,Chardonnay,6.0,14.980040484920966,0.0160857908847185,0.0226009025382112,4.0,10.160150170760016,0.0101010101010101,0.0234725923425433,-2.0,-4.819890314160951,-0.5984780783708399,0.08716898043320993,325,530.6718586848805,17,2008,2024,31.21599168734591
ALT PENEDÈS,Forcada,0.0,0.0,0.0,0.0,3.0,1.7306511035809358,0.0075757575757575,0.0039982546673804,3.0,1.7306511035809358,0.75757575757575,0.39982546673804,31,102.35283282882959,6,2018,2024,17.058805471471597
ALT PENEDÈS,"Garnatxa blanca,Lledoner blanc",0.0,0.0,0.0,0.0,1.0,0.894759939529361,0.0025252525252525,0.0020671284333428,1.0,0.894759939529361,0.25252525252525,0.20671284333428,73,79.29125535582284,11,2011,2024,7.20829594143844
ALT PENEDÈS,"Garnatxa negra,Lledoner",9.0,1.450640802104545,0.0241286863270777,0.0021886316942414,28.0,17.85088666518771,0.0707070707070707,0.0412401961194192,19.0,16.400245863083164,4.6578384379993,3.90515644251778,302,351.5304351141872,16,2008,2024,21.9706521946367
ALT PENEDÈS,Gewürztraminer,4.0,5.686612929064326,0.0107238605898123,0.0085795886006908,2.0,6.934861914487909,0.005050505050505,0.0160213366864466,-2.0,1.248248985423583,-0.56733555393073,0.7441748085755802,74,217.24991738726823,12,2008,2024,18.10415978227235
ALT PENEDÈS,"Macabeu,Viura",92.0,123.0582267673386,0.2466487935656836,0.185662181119826,71.0,63.259609250243166,0.1792929292929292,0.1461461685825128,-21.0,-59.79861751709543,-6.735586427275439,-3.9516012537313183,2461,2913.027612872179,17,2008,2024,171.35456546306935
ALT PENEDÈS,Malvasia blanca,0.0,0.0,0.0,0.0,1.0,1.5706401372863297,0.0025252525252525,0.0036285876724005,1.0,1.5706401372863297,0.25252525252525,0.36285876724005,1,1.5706401372863297,1,2024,2024,1.5706401372863297
ALT PENEDÈS,"Malvasia de Sitges,Malvasia grossa,Malvasia aromàtica",0.0,0.0,0.0,0.0,10.0,13.46437183005366,0.0252525252525252,0.0311062047118967,10.0,13.46437183005366,2.52525252525252,3.11062047118967,179,312.4421191991522,15,2009,2024,20.829474613276815
ALT PENEDÈS,Merlot,0.0,0.0,0.0,0.0,1.0,0.1457430637641391,0.0025252525252525,0.0003367044251308,1.0,0.1457430637641391,0.25252525252525,0.03367044251308,46,56.30273755534672,9,2011,2024,6.255859728371857
ALT PENEDÈS,"Monastrell,Garrut,Mourvedre,Mataró",2.0,1.6727820629448376,0.0053619302949061,0.0025237838582839,1.0,0.0044775009193599,0.0025252525252525,1.0344192952576834e-05,-1.0,-1.6683045620254777,-0.28366777696536005,-0.2513439665331323,104,102.46221933856478,12,2008,2024,8.538518278213731
ALT PENEDÈS,"Moscatell de Alexandria,Moscatell de Màlaga,Moscatell Romà",2.0,0.1888763740738048,0.0053619302949061,0.0002849642847434,0.0,0.0,0.0,0.0,-2.0,-0.1888763740738048,-0.5361930294906101,-0.02849642847434,162,542.1382479752274,13,2008,2022,41.70294215194057
ALT PENEDÈS,"Moscatell de gra petit,Moscatell de gra menut,Muscat de Frontignan",16.0,12.221480971273875,0.0428954423592493,0.0184389688787828,4.0,12.502824106978691,0.0101010101010101,0.028884779108701,-12.0,0.28134313570481595,-3.2794432258239206,1.04458102299182,167,299.3092487482878,15,2008,2024,19.95394991655252
ALT PENEDÈS,Negrelló,0.0,0.0,0.0,0.0,5.0,1.0025305219711058,0.0126262626262626,0.0023161065395379,5.0,1.0025305219711058,1.26262626262626,0.23161065395379002,5,1.0025305219711058,1,2024,2024,1.0025305219711058
ALT PENEDÈS,"Parellada,Montonega,Montonec",48.0,133.95695212718385,0.128686327077748,0.2021054630920304,41.0,112.6334328502078,0.1035353535353535,0.2602125568028281,-7.0,-21.323519276976057,-2.5150973542394497,5.810709371079772,1967,2539.9229275167713,17,2008,2024,149.40723103039832
ALT PENEDÈS,Petit verdot,0.0,0.0,0.0,0.0,3.0,9.439837721829967,0.0075757575757575,0.0218084830342328,3.0,9.439837721829967,0.75757575757575,2.18084830342328,11,35.742348440514036,5,2013,2024,7.148469688102807
ALT PENEDÈS,Pinot noir,16.0,29.77614429678858,0.0428954423592493,0.0449242934885823,17.0,11.00944522810252,0.0429292929292929,0.0254346850601203,1.0,-18.76669906868606,0.0033850570043597594,-1.9489608428461997,319,449.5330730640367,17,2008,2024,26.443121944943336
ALT PENEDÈS,Sauvignon blanc,1.0,0.1503205937899767,0.002680965147453,0.0002267938523365,1.0,2.01335076183392,0.0025252525252525,0.0046513644858402,0.0,1.8630301680439432,-0.015571262220050001,0.44245706335037,115,240.28929821130743,15,2008,2024,16.019286547420496
ALT PENEDÈS,"Subirat Parent,Alarije,Malvasia riojana",1.0,0.717294565335514,0.002680965147453,0.0010822069926082,0.0,0.0,0.0,0.0,-1.0,-0.717294565335514,-0.2680965147453,-0.10822069926082,27,102.01655154104225,7,2008,2022,14.57379307729175
ALT PENEDÈS,Sumoll Negre,0.0,0.0,0.0,0.0,12.0,5.351617441675307,0.0303030303030303,0.0123636297171277,12.0,5.351617441675307,3.03030303030303,1.23636297171277,145,98.29906150117407,12,2012,2024,8.191588458431172
ALT PENEDÈS,"Ull de llebre,Tempranillo,Cencibel,Tinto fino,Tinta de Toro,Tinta del País",0.0,0.0,0.0,0.0,3.0,1.455947982074702,0.0075757575757575,0.0033636189309032,3.0,1.455947982074702,0.75757575757575,0.33636189309032,22,26.80509155370766,9,2012,2024,2.9783435059675174
ALT PENEDÈS,Xarel.lo rosat,0.0,0.0,0.0,0.0,29.0,29.234087374797117,0.0732323232323232,0.0675383536583667,29.0,29.234087374797117,7.32323232323232,6.753835365836671,162,190.53416290592236,15,2010,2024,12.70227752706149
ALT PENEDÈS,"Xarel.lo,Pansa blanca,Pansal,Cartoixà",176.0,338.9478083842068,0.4718498659517426,0.5113822215996626,147.0,103.53963473519184,0.3712121212121212,0.2392035153603637,-29.0,-235.40817364901494,-10.06377447396214,-27.217870623929898,5854,7695.267137153231,17,2008,2024,452.66277277371944
ALT URGELL,"Macabeu,Viura",1.0,0.0004419391730989,0.125,8.43670570489264e-05,9.0,5.180848887178512,0.3214285714285714,0.2700445941071385,8.0,5.180406948005413,19.64285714285714,26.996022705008954,94,60.56509140550118,13,2008,2024,4.658853185038552
ALT URGELL,"Monastrell,Garrut,Mourvedre,Mataró",6.0,4.859757597939397,0.75,0.9277372803011296,0.0,0.0,0.0,0.0,-6.0,-4.859757597939397,-75.0,-92.77372803011296,7,6.0871722565584605,2,2008,2016,3.0435861282792303
ALT URGELL,"Parellada,Montonega,Montonec",1.0,0.3780911957574732,0.125,0.0721783526418213,7.0,6.173749173635339,0.25,0.3217981504613207,6.0,5.795657977877866,12.5,24.96197978194994,56,67.2754033250688,14,2008,2024,4.805385951790628
ALT URGELL,Pinot noir,0.0,0.0,0.0,0.0,5.0,2.394759445697422,0.1785714285714285,0.1248235292285825,5.0,2.394759445697422,17.85714285714285,12.48235292285825,10,5.215744971955331,2,2022,2024,2.6078724859776656
ALT URGELL,Sauvignon blanc,0.0,0.0,0.0,0.0,4.0,0.041153393884522,0.1428571428571428,0.002145063828281,4.0,0.041153393884522,14.28571428571428,0.21450638282810003,4,0.041153393884522,1,2024,2024,0.041153393884522
ALT URGELL,Trepat,0.0,0.0,0.0,0.0,2.0,5.015237614360878,0.0714285714285714,0.2614123352010192,2.0,5.015237614360878,7.14285714285714,26.14123352010192,42,38.47889317352471,13,2009,2024,2.9599148595019007
ALT URGELL,Viognier,0.0,0.0,0.0,0.0,1.0,0.3794120114453177,0.0357142857142857,0.0197763271736579,1.0,0.3794120114453177,3.57142857142857,1.97763271736579,1,0.3794120114453177,1,2024,2024,0.3794120114453177
ANOIA,Cabernet Sauvignon,3.0,3.390062099878828,0.0769230769230769,0.0559282612848287,0.0,0.0,0.0,0.0,-3.0,-3.390062099878828,-7.69230769230769,-5.59282612848287,7,3.9898332499288562,3,2008,2019,1.3299444166429522
ANOIA,"Garnatxa negra,Lledoner",1.0,0.0666713384796161,0.0256410256410256,0.0010999244051696,5.0,5.900182054448059,0.1612903225806451,0.0756087705855528,4.0,5.833510715968443,13.56492969396195,7.450884618038321,115,392.3640723400394,15,2008,2024,26.157604822669292
ANOIA,"Macabeu,Viura",3.0,16.785445072182377,0.0769230769230769,0.2769214044228606,11.0,25.89699360283795,0.3548387096774194,0.3318609205789448,8.0,9.111548530655572,27.79156327543425,5.493951615608417,262,363.8273430219158,17,2008,2024,21.40160841305387
ANOIA,Merlot,0.0,0.0,0.0,0.0,2.0,0.1917704255788652,0.064516129032258,0.00245747096935,2.0,0.1917704255788652,6.451612903225799,0.245747096935,18,8.424983008947352,7,2010,2024,1.2035690012781932
ANOIA,"Moscatell de Alexandria,Moscatell de Màlaga,Moscatell Romà",2.0,0.0456481595544318,0.0512820512820512,0.0007530900967339,0.0,0.0,0.0,0.0,-2.0,-0.0456481595544318,-5.12820512820512,-0.07530900967338999,11,9.466522054530888,4,2008,2018,2.366630513632722
ANOIA,"Parellada,Montonega,Montonec",0.0,0.0,0.0,0.0,5.0,5.276573665188124,0.1612903225806451,0.0676174470630464,5.0,5.276573665188124,16.12903225806451,6.76174470630464,235,831.530485835805,15,2009,2024,55.435365722387004
ANOIA,Pinot noir,1.0,0.2598943526583349,0.0256410256410256,0.0042876616515214,0.0,0.0,0.0,0.0,-1.0,-0.2598943526583349,-2.56410256410256,-0.42876616515214,56,120.74594279837498,9,2008,2022,13.416215866486109
ANOIA,Sauvignon blanc,19.0,21.516883441041514,0.4871794871794871,0.3549793023463459,1.0,0.2012760776484375,0.032258064516129,0.0025792825778668,-18.0,-21.315607363393077,-45.49214226633581,-35.24000197684791,59,59.77984339948867,13,2008,2024,4.598449492268359
ANOIA,Xarel.lo rosat,0.0,0.0,0.0,0.0,1.0,0.4125216536223295,0.032258064516129,0.0052863207918795,1.0,0.4125216536223295,3.2258064516128995,0.52863207918795,2,2.6891871063755803,2,2013,2024,1.3445935531877902
ANOIA,"Xarel.lo,Pansa blanca,Pansal,Cartoixà",10.0,18.54986882751792,0.2564102564102564,0.3060303557925397,6.0,40.15636553408918,0.1935483870967742,0.5145897874333594,-4.0,21.606496706571264,-6.28618693134822,20.85594316408197,233,677.6272849156452,17,2008,2024,39.860428524449716
BAGES,Cabernet Sauvignon,5.0,16.83772093821494,0.4166666666666667,0.8681475749507118,1.0,1.463999871960356,0.0769230769230769,0.2257066019419427,-4.0,-15.373721066254584,-33.97435897435898,-64.24409730087692,21,52.925293780665235,9,2008,2024,5.880588197851693
BAGES,Coromina,0.0,0.0,0.0,0.0,3.0,0.8319709892699745,0.2307692307692307,0.1282659571895696,3.0,0.8319709892699745,23.07692307692307,12.826595718956959,5,0.9913236015229336,2,2022,2024,0.4956618007614668
BAGES,"Garró,Mandó",0.0,0.0,0.0,0.0,3.0,2.273279168259089,0.2307692307692307,0.3504741538304308,3.0,2.273279168259089,23.07692307692307,35.04741538304308,41,160.61126974399536,8,2012,2024,20.07640871799942
BAGES,"Macabeu,Viura",0.0,0.0,0.0,0.0,1.0,0.4050829560020322,0.0769230769230769,0.0624521212432811,1.0,0.4050829560020322,7.69230769230769,6.24521212432811,21,10.708289332495074,10,2009,2024,1.0708289332495073
BAGES,"Malvasia de Sitges,Malvasia grossa,Malvasia aromàtica",0.0,0.0,0.0,0.0,2.0,1.2681340468941555,0.1538461538461538,0.1955097346751099,2.0,1.2681340468941555,15.38461538461538,19.55097346751099,7,2.7450095192714485,5,2012,2024,0.5490019038542897
BAGES,"Parellada,Montonega,Montonec",0.0,0.0,0.0,0.0,1.0,0.0011893317517528,0.0769230769230769,0.0001833606910841,1.0,0.0011893317517528,7.69230769230769,0.01833606910841,1,0.0011893317517528,1,2024,2024,0.0011893317517528
BAGES,Parrella,0.0,0.0,0.0,0.0,1.0,0.1427853211941022,0.0769230769230769,0.0220133828364039,1.0,0.1427853211941022,7.69230769230769,2.20133828364039,1,0.1427853211941022,1,2024,2024,0.1427853211941022
BAGES,Picapoll blanc,6.0,1.4824539726096844,0.5,0.0764348587329412,0.0,0.0,0.0,0.0,-6.0,-1.4824539726096844,-50.0,-7.64348587329412,41,35.15146046338465,12,2008,2023,2.929288371948721
BAGES,Sumoll Negre,0.0,0.0,0.0,0.0,1.0,0.0998545034567278,0.0769230769230769,0.0153946875921778,1.0,0.0998545034567278,7.69230769230769,1.53946875921778,43,17.843890675496766,12,2009,2024,1.4869908896247306
BAGES,Syrah,1.0,1.0748236171282814,0.0833333333333333,0.0554175663163469,0.0,0.0,0.0,0.0,-1.0,-1.0748236171282814,-8.33333333333333,-5.54175663163469,8,5.702608280342957,4,2008,2012,1.4256520700857394
BAIX CAMP,"Garnatxa blanca,Lledoner blanc",0.0,0.0,0.0,0.0,1.0,0.0602932499989421,1.0,1.0,1.0,0.0602932499989421,100.0,100.0,37,70.80217260827317,7,2014,2024,10.114596086896167
BAIX EMPORDÀ,"Garnatxa blanca,Lledoner blanc",0.0,0.0,0.0,0.0,5.0,6.612254095381358,0.5555555555555556,0.932947396126554,5.0,6.612254095381358,55.55555555555556,93.29473961265539,49,49.70232253833868,11,2012,2024,4.518392958030788
